zin/het-is	Het is
zin/zet-de-klok-op	Zet de klok op
zin/goed-zo	Goed zo!
zin/bijna	Bijna!
zin/jouw-klok-zegt	Jouw klok zegt
zin/probeer-het-nog-eens	Probeer het nog eens.
zin/hoe-laat-is-het	Hoe laat is het?
zin/niet-gehoord	Ik heb het niet goed gehoord.
tijd/12-00	Twaalf uur.
tijd/12-01	Één minuut over twaalf.
tijd/12-02	Twee minuten over twaalf.
tijd/12-03	Drie minuten over twaalf.
tijd/12-04	Vier minuten over twaalf.
tijd/12-05	Vijf over twaalf.
tijd/12-06	Zes minuten over twaalf.
tijd/12-07	Zeven minuten over twaalf.
tijd/12-08	Acht minuten over twaalf.
tijd/12-09	Negen minuten over twaalf.
tijd/12-10	Tien over twaalf.
tijd/12-11	Elf minuten over twaalf.
tijd/12-12	Twaalf minuten over twaalf.
tijd/12-13	Dertien minuten over twaalf.
tijd/12-14	Veertien minuten over twaalf.
tijd/12-15	Kwart over twaalf.
tijd/12-16	Veertien minuten voor half één.
tijd/12-17	Dertien minuten voor half één.
tijd/12-18	Twaalf minuten voor half één.
tijd/12-19	Elf minuten voor half één.
tijd/12-20	Tien voor half één.
tijd/12-21	Negen minuten voor half één.
tijd/12-22	Acht minuten voor half één.
tijd/12-23	Zeven minuten voor half één.
tijd/12-24	Zes minuten voor half één.
tijd/12-25	Vijf voor half één.
tijd/12-26	Vier minuten voor half één.
tijd/12-27	Drie minuten voor half één.
tijd/12-28	Twee minuten voor half één.
tijd/12-29	Één minuut voor half één.
tijd/12-30	Half één.
tijd/12-31	Één minuut over half één.
tijd/12-32	Twee minuten over half één.
tijd/12-33	Drie minuten over half één.
tijd/12-34	Vier minuten over half één.
tijd/12-35	Vijf over half één.
tijd/12-36	Zes minuten over half één.
tijd/12-37	Zeven minuten over half één.
tijd/12-38	Acht minuten over half één.
tijd/12-39	Negen minuten over half één.
tijd/12-40	Tien over half één.
tijd/12-41	Elf minuten over half één.
tijd/12-42	Twaalf minuten over half één.
tijd/12-43	Dertien minuten over half één.
tijd/12-44	Veertien minuten over half één.
tijd/12-45	Kwart voor één.
tijd/12-46	Veertien minuten voor één.
tijd/12-47	Dertien minuten voor één.
tijd/12-48	Twaalf minuten voor één.
tijd/12-49	Elf minuten voor één.
tijd/12-50	Tien voor één.
tijd/12-51	Negen minuten voor één.
tijd/12-52	Acht minuten voor één.
tijd/12-53	Zeven minuten voor één.
tijd/12-54	Zes minuten voor één.
tijd/12-55	Vijf voor één.
tijd/12-56	Vier minuten voor één.
tijd/12-57	Drie minuten voor één.
tijd/12-58	Twee minuten voor één.
tijd/12-59	Één minuut voor één.
tijd/01-00	Één uur.
tijd/01-01	Één minuut over één.
tijd/01-02	Twee minuten over één.
tijd/01-03	Drie minuten over één.
tijd/01-04	Vier minuten over één.
tijd/01-05	Vijf over één.
tijd/01-06	Zes minuten over één.
tijd/01-07	Zeven minuten over één.
tijd/01-08	Acht minuten over één.
tijd/01-09	Negen minuten over één.
tijd/01-10	Tien over één.
tijd/01-11	Elf minuten over één.
tijd/01-12	Twaalf minuten over één.
tijd/01-13	Dertien minuten over één.
tijd/01-14	Veertien minuten over één.
tijd/01-15	Kwart over één.
tijd/01-16	Veertien minuten voor half twee.
tijd/01-17	Dertien minuten voor half twee.
tijd/01-18	Twaalf minuten voor half twee.
tijd/01-19	Elf minuten voor half twee.
tijd/01-20	Tien voor half twee.
tijd/01-21	Negen minuten voor half twee.
tijd/01-22	Acht minuten voor half twee.
tijd/01-23	Zeven minuten voor half twee.
tijd/01-24	Zes minuten voor half twee.
tijd/01-25	Vijf voor half twee.
tijd/01-26	Vier minuten voor half twee.
tijd/01-27	Drie minuten voor half twee.
tijd/01-28	Twee minuten voor half twee.
tijd/01-29	Één minuut voor half twee.
tijd/01-30	Half twee.
tijd/01-31	Één minuut over half twee.
tijd/01-32	Twee minuten over half twee.
tijd/01-33	Drie minuten over half twee.
tijd/01-34	Vier minuten over half twee.
tijd/01-35	Vijf over half twee.
tijd/01-36	Zes minuten over half twee.
tijd/01-37	Zeven minuten over half twee.
tijd/01-38	Acht minuten over half twee.
tijd/01-39	Negen minuten over half twee.
tijd/01-40	Tien over half twee.
tijd/01-41	Elf minuten over half twee.
tijd/01-42	Twaalf minuten over half twee.
tijd/01-43	Dertien minuten over half twee.
tijd/01-44	Veertien minuten over half twee.
tijd/01-45	Kwart voor twee.
tijd/01-46	Veertien minuten voor twee.
tijd/01-47	Dertien minuten voor twee.
tijd/01-48	Twaalf minuten voor twee.
tijd/01-49	Elf minuten voor twee.
tijd/01-50	Tien voor twee.
tijd/01-51	Negen minuten voor twee.
tijd/01-52	Acht minuten voor twee.
tijd/01-53	Zeven minuten voor twee.
tijd/01-54	Zes minuten voor twee.
tijd/01-55	Vijf voor twee.
tijd/01-56	Vier minuten voor twee.
tijd/01-57	Drie minuten voor twee.
tijd/01-58	Twee minuten voor twee.
tijd/01-59	Één minuut voor twee.
tijd/02-00	Twee uur.
tijd/02-01	Één minuut over twee.
tijd/02-02	Twee minuten over twee.
tijd/02-03	Drie minuten over twee.
tijd/02-04	Vier minuten over twee.
tijd/02-05	Vijf over twee.
tijd/02-06	Zes minuten over twee.
tijd/02-07	Zeven minuten over twee.
tijd/02-08	Acht minuten over twee.
tijd/02-09	Negen minuten over twee.
tijd/02-10	Tien over twee.
tijd/02-11	Elf minuten over twee.
tijd/02-12	Twaalf minuten over twee.
tijd/02-13	Dertien minuten over twee.
tijd/02-14	Veertien minuten over twee.
tijd/02-15	Kwart over twee.
tijd/02-16	Veertien minuten voor half drie.
tijd/02-17	Dertien minuten voor half drie.
tijd/02-18	Twaalf minuten voor half drie.
tijd/02-19	Elf minuten voor half drie.
tijd/02-20	Tien voor half drie.
tijd/02-21	Negen minuten voor half drie.
tijd/02-22	Acht minuten voor half drie.
tijd/02-23	Zeven minuten voor half drie.
tijd/02-24	Zes minuten voor half drie.
tijd/02-25	Vijf voor half drie.
tijd/02-26	Vier minuten voor half drie.
tijd/02-27	Drie minuten voor half drie.
tijd/02-28	Twee minuten voor half drie.
tijd/02-29	Één minuut voor half drie.
tijd/02-30	Half drie.
tijd/02-31	Één minuut over half drie.
tijd/02-32	Twee minuten over half drie.
tijd/02-33	Drie minuten over half drie.
tijd/02-34	Vier minuten over half drie.
tijd/02-35	Vijf over half drie.
tijd/02-36	Zes minuten over half drie.
tijd/02-37	Zeven minuten over half drie.
tijd/02-38	Acht minuten over half drie.
tijd/02-39	Negen minuten over half drie.
tijd/02-40	Tien over half drie.
tijd/02-41	Elf minuten over half drie.
tijd/02-42	Twaalf minuten over half drie.
tijd/02-43	Dertien minuten over half drie.
tijd/02-44	Veertien minuten over half drie.
tijd/02-45	Kwart voor drie.
tijd/02-46	Veertien minuten voor drie.
tijd/02-47	Dertien minuten voor drie.
tijd/02-48	Twaalf minuten voor drie.
tijd/02-49	Elf minuten voor drie.
tijd/02-50	Tien voor drie.
tijd/02-51	Negen minuten voor drie.
tijd/02-52	Acht minuten voor drie.
tijd/02-53	Zeven minuten voor drie.
tijd/02-54	Zes minuten voor drie.
tijd/02-55	Vijf voor drie.
tijd/02-56	Vier minuten voor drie.
tijd/02-57	Drie minuten voor drie.
tijd/02-58	Twee minuten voor drie.
tijd/02-59	Één minuut voor drie.
tijd/03-00	Drie uur.
tijd/03-01	Één minuut over drie.
tijd/03-02	Twee minuten over drie.
tijd/03-03	Drie minuten over drie.
tijd/03-04	Vier minuten over drie.
tijd/03-05	Vijf over drie.
tijd/03-06	Zes minuten over drie.
tijd/03-07	Zeven minuten over drie.
tijd/03-08	Acht minuten over drie.
tijd/03-09	Negen minuten over drie.
tijd/03-10	Tien over drie.
tijd/03-11	Elf minuten over drie.
tijd/03-12	Twaalf minuten over drie.
tijd/03-13	Dertien minuten over drie.
tijd/03-14	Veertien minuten over drie.
tijd/03-15	Kwart over drie.
tijd/03-16	Veertien minuten voor half vier.
tijd/03-17	Dertien minuten voor half vier.
tijd/03-18	Twaalf minuten voor half vier.
tijd/03-19	Elf minuten voor half vier.
tijd/03-20	Tien voor half vier.
tijd/03-21	Negen minuten voor half vier.
tijd/03-22	Acht minuten voor half vier.
tijd/03-23	Zeven minuten voor half vier.
tijd/03-24	Zes minuten voor half vier.
tijd/03-25	Vijf voor half vier.
tijd/03-26	Vier minuten voor half vier.
tijd/03-27	Drie minuten voor half vier.
tijd/03-28	Twee minuten voor half vier.
tijd/03-29	Één minuut voor half vier.
tijd/03-30	Half vier.
tijd/03-31	Één minuut over half vier.
tijd/03-32	Twee minuten over half vier.
tijd/03-33	Drie minuten over half vier.
tijd/03-34	Vier minuten over half vier.
tijd/03-35	Vijf over half vier.
tijd/03-36	Zes minuten over half vier.
tijd/03-37	Zeven minuten over half vier.
tijd/03-38	Acht minuten over half vier.
tijd/03-39	Negen minuten over half vier.
tijd/03-40	Tien over half vier.
tijd/03-41	Elf minuten over half vier.
tijd/03-42	Twaalf minuten over half vier.
tijd/03-43	Dertien minuten over half vier.
tijd/03-44	Veertien minuten over half vier.
tijd/03-45	Kwart voor vier.
tijd/03-46	Veertien minuten voor vier.
tijd/03-47	Dertien minuten voor vier.
tijd/03-48	Twaalf minuten voor vier.
tijd/03-49	Elf minuten voor vier.
tijd/03-50	Tien voor vier.
tijd/03-51	Negen minuten voor vier.
tijd/03-52	Acht minuten voor vier.
tijd/03-53	Zeven minuten voor vier.
tijd/03-54	Zes minuten voor vier.
tijd/03-55	Vijf voor vier.
tijd/03-56	Vier minuten voor vier.
tijd/03-57	Drie minuten voor vier.
tijd/03-58	Twee minuten voor vier.
tijd/03-59	Één minuut voor vier.
tijd/04-00	Vier uur.
tijd/04-01	Één minuut over vier.
tijd/04-02	Twee minuten over vier.
tijd/04-03	Drie minuten over vier.
tijd/04-04	Vier minuten over vier.
tijd/04-05	Vijf over vier.
tijd/04-06	Zes minuten over vier.
tijd/04-07	Zeven minuten over vier.
tijd/04-08	Acht minuten over vier.
tijd/04-09	Negen minuten over vier.
tijd/04-10	Tien over vier.
tijd/04-11	Elf minuten over vier.
tijd/04-12	Twaalf minuten over vier.
tijd/04-13	Dertien minuten over vier.
tijd/04-14	Veertien minuten over vier.
tijd/04-15	Kwart over vier.
tijd/04-16	Veertien minuten voor half vijf.
tijd/04-17	Dertien minuten voor half vijf.
tijd/04-18	Twaalf minuten voor half vijf.
tijd/04-19	Elf minuten voor half vijf.
tijd/04-20	Tien voor half vijf.
tijd/04-21	Negen minuten voor half vijf.
tijd/04-22	Acht minuten voor half vijf.
tijd/04-23	Zeven minuten voor half vijf.
tijd/04-24	Zes minuten voor half vijf.
tijd/04-25	Vijf voor half vijf.
tijd/04-26	Vier minuten voor half vijf.
tijd/04-27	Drie minuten voor half vijf.
tijd/04-28	Twee minuten voor half vijf.
tijd/04-29	Één minuut voor half vijf.
